Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
RÃ¶ttgen 2017,Germany,Mosel,Heymann-LÃ¶wenstein,4.0,70,31.0,2017,White,50.3148115,7.522224
Casamaro Verdejo 2019,Spain,Rueda,Garciarevalo,4.1,70,6.24,2019,White,41.4119523,-4.7921423
Puligny-Montrachet 2017,France,Puligny-Montrachet,Jacques Carillon,4.1,70,59.9,2017,White,46.9464338,4.7527533
Chablis Grand Cru 'Les Preuses' 2016,France,Chablis Grand Cru 'Preuses',Domaine William FÃ¨vre,4.3,70,95.0,2016,White,47.8131129,3.8005341
Forster U 500 Riesling 2013,Germany,Pfalz,Von Winning,4.2,71,45.95,2013,White,49.4106226,8.1863799
Ungeheuer GG 2017,Germany,Pfalz,Georg Mosbacher,4.3,71,28.59,2017,White,49.4232231,8.1898981
Riesling 2018,New Zealand,Nelson,Seifried Estate,4.0,71,12.69,2018,White,-41.302322,173.1151633
Sauvage Sauvignon Blanc - Semillon 2015,Australia,Margaret River,Domaine Naturaliste,4.0,71,18.95,2015,White,-33.7493036,115.0456631
TorrontÃ©s 2019,Argentina,Calchaqui Valley,ColomÃ©,4.1,71,8.24,2019,White,43.2605097,-99.7152302
VaudÃ©sir Chablis Grand Cru 2016,France,Chablis Grand Cru,Roland Lavantureux,4.3,71,122.0,2016,White,47.8652641,3.7279699
Mrs. English 2017,South Africa,Stellenbosch,Lanzerac,4.4,72,27.1,2017,White,-33.9378873,18.8939536
Santenay Premier Cru 'GraviÃ¨res' Blanc 2014,France,Santenay 1er Cru 'Les GraviÃ¨res',ChÃ¢teau de la CrÃ©e,4.1,72,69.26,2014,White,46.9147949,4.6868397
Collection SecrÃ¨te White 2014,Georgia,Kakheti,Mukhrani,4.0,72,17.5,2014,White,41.9349353,44.5655726
Langenmorgen GG 2015,Germany,Pfalz,Von Winning,4.3,72,34.95,2015,White,49.4106226,8.1863799
Riesling Reserve ZÃ¶binger Heiligenstein Alte Reben 2011,Austria,Kamptal,Weingut BrÃ¼ndlmayer,4.1,72,45.28,2011,White,48.4738838,15.6650811
Puligny-Montrachet 2015,France,Puligny-Montrachet,Domaine Henri Boillot,4.0,72,65.0,2015,White,46.9686198,4.7971731
Glimmerschiefer Riesling Feinherb 2018,Germany,Mosel,Weingut Loersch,4.2,73,10.3,2018,White,49.81007,6.89778
Jesuitengarten Riesling GG 2018,Germany,Pfalz,Dr. Von Bassermann-Jordan,4.4,73,48.64,2018,White,49.4081542,8.1857663
Goruli Mtsvane 2018,Georgia,Kakheti,Mukhrani,4.1,73,17.74,2018,White,41.9349353,44.5655726
Rotschiefer Riesling Kabinett 2018,Germany,Mosel,Van Volxem,4.0,73,12.6,2018,White,49.6427945,6.5787574
